DATAATUAL|CREDOR|TIPO DE COMUNICACAO|NUMERO DO PROCESSO|JUIZO|COMARCA|DATA DE ABERTURA DO PROCESSO|RECUPERANDA/FALIDA/INSOLVENTE|CNPJ|LOGRADOURO|NUMERO|BAIRRO|CIDADE|ESTADO|CEP|NATUREZA|VALOR|CLASSIFICACAO|REGISTRADO|CEP_CREDOR|LOGRADOURO_CREDOR|NUMERO_CREDOR|COMPLEMENTO_CREDOR|BAIRRO_CREDOR|CIDADE_CREDOR|ESTADO_CREDOR|ETIQUETA
04/07/2023|                 TRUSTHUB SECURITIZADORA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 95.770,04|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00137|01218000|AL CLEVELAND|509|5 andar|CAMPOS ELISEOS|São Paulo|SP|YA063637522BR
04/07/2023|              FIDC MULTISETORIAL HOPE LP|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 263.201,78|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00057|01310923|AV ANGELICA|1842||CONSOLACAO|São Paulo|SP|YA063637536BR
04/07/2023|HAMPTON FUNDO DE INVESTIMENTO EM DIREITO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 436.498,84|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00064|01311200|AVENIDA PAULISTA|1793||BELA VISTA|São Paulo|SP|YA063637540BR
04/07/2023|                        RHODIA BRASIL SA|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 28.372,96|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00111|01314914|AV DOUTOR ROBERTO MOREIRA|5005||RECANTO DOS PASSAROS|Paulina|SP|YA063637553BR
04/07/2023|BANCRED FUNDO DIREITOS CREDITORIOS NAO P|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 435.313,80|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00025|01451901|AV BRIGADEIRO FARIA LIMA|1355|3 ANDAR|CENTRO|São Paulo|SP|YA063637567BR
04/07/2023|                VIA CAPITAL ARTEMUS FIDC|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 271.366,44|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00144|01452002|AV BRIGADEIRO FARIA LIMA|1355||JARDIM PAULISTANO|São Paulo|SP|YA063637575BR
04/07/2023|SRM EXODUS PME FUNDO DE INVESTIMENTO EM |COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 210.113,24|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00125|01452000|AV BRIGADEIRO FARIA LIMA|2277||JD PAULISTA|São Paulo|SP|YA063637584BR
04/07/2023|DSX INVESTIMENTOS EM DIREITOS CREDITORIO|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 89.456,95|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00048|01452002|AV BRIGADEIRO FARIA LIMA|1355||JD PAULISTA|São Paulo|SP|YA063637598BR
04/07/2023|FATORI FUNDO DE INVESTIMENTO EM DIR CRED|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 1.545.280,25|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00056|01452002|AV BRIGADEIRO FARIA LIMA|1355|3 ANDAR|JD PAULISTANO|São Paulo|SP|YA063637607BR
04/07/2023|FS FUNDO DE INVESTIMENTO EM DIREITOS CRE|COMUNICAÇÃO DE RECUPERAÇÃO JUDICIAL|5000607-39.2023.8.24.0078|Juízo da 1ª Vara da Comarca de Urussanga|Urussanga|15 de Fevereiro de 2023|ARARAS QUIMICA DO BRASIL LTDA|09.480.033/0001-50|Rua assis de souza brasil|700|area industrial ii|Cotia                        |SC|88845000|Contratual|R$ 4.223.743,92|Classe III - Créditos Quirografários, com privilégio especial, com privilégio geral ou subordinados|[5000607-39.2023.8.24.0078] ARARAS QUIMICA DO BRASIL LTDA - 00059|01452002|AV BRIGADEIRO FARIA LIMA|1355||JD PAULISTANO|São Paulo|SP|YA063637615BR
